               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.055382,            0.036011,           0.0041642,             0.59413,             0.76726,             0.69746,             0.23527,            0.039788,            0.025218,           0.0021322,           0.0030366,           0.0030366,            0.044837
                  53,            0.052783,            0.033705,           0.0044301,             0.68819,             0.86092,             0.83643,             0.36411,            0.038796,            0.026057,           0.0020809,           0.0030104,           0.0030104,             0.04371
                  54,            0.050244,            0.037045,           0.0041301,             0.83366,             0.96681,             0.93489,             0.42721,            0.036747,            0.026604,           0.0021679,           0.0029813,           0.0029813,            0.042581
                  55,            0.046206,            0.039177,           0.0036551,             0.79363,             0.78635,             0.87652,             0.44632,            0.036783,            0.025801,           0.0020235,           0.0029496,           0.0029496,             0.04145
                  56,            0.049133,            0.039303,           0.0035965,             0.77159,              0.8256,             0.88509,             0.49733,            0.037873,            0.024648,           0.0018736,           0.0029151,           0.0029151,            0.040315
                  57,            0.048604,            0.038097,           0.0036685,             0.73256,             0.89092,             0.89727,             0.43431,            0.037113,             0.02391,           0.0018001,           0.0028782,           0.0028782,            0.039178
                  58,            0.048941,            0.036707,            0.004455,             0.54667,             0.95606,              0.7313,             0.30463,            0.040519,            0.024811,           0.0020439,           0.0028388,           0.0028388,            0.038039
                  59,             0.04462,            0.035053,           0.0036304,             0.84987,             0.90422,             0.92813,             0.53547,            0.033413,            0.024006,           0.0019173,           0.0027972,           0.0027972,            0.036897
                  60,            0.045079,            0.035213,           0.0040321,             0.69852,             0.93455,             0.87428,             0.46605,            0.035374,            0.025575,           0.0020277,           0.0027533,           0.0027533,            0.035753
                  61,            0.044057,            0.034652,           0.0033919,              0.8393,              0.9669,             0.94986,              0.5177,            0.031335,            0.024718,            0.002106,           0.0027074,           0.0027074,            0.034607
                  62,            0.042015,            0.034395,           0.0031978,             0.88236,             0.92315,             0.94667,              0.5853,            0.031241,            0.024463,           0.0018005,           0.0026597,           0.0026597,             0.03346
                  63,            0.045584,            0.036199,           0.0027845,             0.87001,             0.92391,             0.93103,             0.52158,            0.033645,            0.025836,           0.0016132,           0.0026101,           0.0026101,             0.03231
                  64,            0.044215,             0.03801,           0.0030861,             0.74128,                   1,             0.93121,             0.44643,            0.033273,            0.025193,           0.0015544,            0.002559,            0.002559,            0.031159
                  65,            0.040092,            0.036956,           0.0031969,             0.82778,             0.91948,             0.92251,             0.48169,            0.032335,            0.025791,           0.0012818,           0.0025064,           0.0025064,            0.030006
                  66,            0.043594,            0.034788,           0.0028106,             0.78743,             0.95652,             0.92404,             0.52218,            0.034352,            0.024361,           0.0013079,           0.0024524,           0.0024524,            0.028852
